Um esqueleto
Um lich
Um vampiro
Um lobisomen
Uma lamia
Uma mumia
Um bandido
Um dragoniano
Um gorilla
Um guerreiro
Um veterano
Um feiticeiro
Um necromante
Um zombie
Um flagelo
Um anao rocha negra
Um louco
Um troll
Um minotauro
Um Orc
Um mago
Um taverneiro
Um anao
Um arcanista
Um veterano de guerra
Uma sacerdote elfa
Um elfo biruta
Uma troll zaluag
Um orc shaman
Um vendendor
Um goblin minerador
Um vendedor goblin
Um mestre de escravos
Um goblin
Um humano
Um sacerdote da vila local
Um minotauro
Um minotauro mago
Um gnomo
Um gnomo joalheiro
Um meio-elfo perdido
Um meio-elfo minerador
Um meio-orc fugitivo
Um meio-orc banqueiro
Um centauro
Um elfo do mar
Um gnoll
Um troglodita
Um hobbit
Um hobbit mago
Um hobbit ladino
Um hobbit vendedor
Um argoniano
Um argoniano alcolatra
Um argoniano druida
Um capitao argoniano
Um paladino
Um guerreiro
Um cavaleiro
Um cacador
Um bruxo
Uma bruxa
Uma elfa
Uma maga
Uma humana
Uma banqueira
Uma princesa
Uma fazendeira
Uma camponesa
Uma rainha
Um sacerdote
Uma sacerdotisa
Uma orquisia
Um shaman
Uma shaman
Uma elfa da noite
Um gigante
Um ciclope
Uma trolesa
Um pandaren
